,created_at,sentiment,text
38,Tue Nov 13 06:29:09 +0000 2018,0.0,@PendragonMR @Vickie627 @gramma61 @ArmyVet2x @LizzyHock1963 @shereedre10 @JeffHarperArt @JinyJenJen @HackDz… https://t.co/6myZUCSAfN
39,Tue Nov 13 06:29:08 +0000 2018,0.3,"*Alien sees Trump for the first time*

""Damn this guy is fucking awesome"" https://t.co/yVW8JFnPHy"
40,Tue Nov 13 06:29:07 +0000 2018,0.2,I'm enjoying the image of a gorging and swollen Trump consuming this endless media attention that he's been longing… https://t.co/YO0beP6kgl
41,Tue Nov 13 06:29:07 +0000 2018,0.0,@Christo07093127 @MatthewStadlen Sounds just like Sarah Sanders in defence of Trump
42,Tue Nov 13 06:29:07 +0000 2018,-0.6,@SowaibahH Shhh. The truth is too inconvenient for Mr Trump wannabe 🙄
43,Tue Nov 13 06:29:06 +0000 2018,0.2,@LToddWood Trump having to bend down to Putin. Trump making all the effort to make sure he shakes Putin’s hand. Put… https://t.co/p9EtNEOPZC
44,Tue Nov 13 06:29:05 +0000 2018,0.4,"@thehill Trump gone win again, she need to relax and sit back 🙃"
45,Tue Nov 13 06:29:04 +0000 2018,0.4,Vice President Pence pushes Japan for bilateral free trade agreement https://t.co/V6AIxPtolJ… https://t.co/sP915deDGN
46,Tue Nov 13 06:29:04 +0000 2018,0.5,"Train Wreck Trump, A Theory: He realized @FoxNews cares more about @TuckerCarlson’s driveway than they do about str… https://t.co/skwKAK3elr"
47,Tue Nov 13 06:29:03 +0000 2018,0.6,Anybody that takes a job for tRUMP has to sell their soul... ETTD...Baby imprisoning is SMILED upon by tRUMP and he… https://t.co/ob5f5Ky9rv
48,Tue Nov 13 06:29:03 +0000 2018,0.0,"Trump is preparing to remove Kirstjen Nielsen as Homeland Security secretary, aides say - Washington Post https://t.co/Ydiz5jyztB"
49,Tue Nov 13 06:29:02 +0000 2018,0.1,New post (Trump Presses Saudi Arabia Over Oil as Relations Fray Further By Bloomberg) has been published on Get the… https://t.co/x6hTsY61Lf
50,Tue Nov 13 06:29:02 +0000 2018,0.0,Trump preps for border wall fight with Dems https://t.co/NLdPzuZaQ0 vía @politico
51,Tue Nov 13 06:29:00 +0000 2018,0.0,"@TheDweck There is no one Trump does not attack or threaten,  American or not and he's coming with a VENGENCE direc… https://t.co/aQJvo6ij3T"
52,Tue Nov 13 06:29:00 +0000 2018,0.0,"@rachaelmbade So, you're saying that a year after Trump doubled the deficit to $1 trillion to cut taxes on the rich… https://t.co/59oGgJ4V4Y"
53,Tue Nov 13 06:29:00 +0000 2018,0.0,"@democracynow: Then—Journalist @AllanNairn14 joins us for the rest of the hour to talk about Brazil, Trump's escala… https://t.co/vie8azt85B"
54,Tue Nov 13 06:29:00 +0000 2018,0.0,Trump's border deployment could cost between $200M and $300M https://t.co/r8RSsB8jfI
55,Tue Nov 13 06:28:59 +0000 2018,0.0,A Defeat for White Identity   via @NYTimes https://t.co/XAZ3XgawFi
56,Tue Nov 13 06:28:58 +0000 2018,0.0,@DonnaLeeThomps8 @3coolkatz @sharon_cantley @adelyn1940 @vroberts9 @MissytheB @catsrule0 @BloomNight2… https://t.co/DTuookIXID
57,Tue Nov 13 06:28:57 +0000 2018,-0.5,Is Something Neurologically Wrong With Donald Trump? https://t.co/lBsDMHi59v
58,Tue Nov 13 06:28:56 +0000 2018,1.0,And if you had told me that the electoral college would elect Donald Trump I would not have believed you! https://t.co/CiAZzAF2ED
59,Tue Nov 13 06:28:53 +0000 2018,0.7,@politvidchannel I love Beto &amp; I think one day he will be a great President. I don’t think he should run in 2020 th… https://t.co/X8plJvDIEB
60,Tue Nov 13 06:28:53 +0000 2018,-0.5,@StacieMonroe15 Trump does need to go. The crap he's doing is it just damaging our country it is damaging other cou… https://t.co/QIb179X81y
61,Tue Nov 13 06:28:52 +0000 2018,0.0,"“He reveals deep and secret things; He knows what is in the darkness, And light dwells with Him.” (Daniel 2:22)  Pr… https://t.co/xrzANp24lN"
62,Tue Nov 13 06:28:52 +0000 2018,0.2,@julianbarnes @EricSchmittNYT @ddknyt @USSenate @HouseDemocrats @HouseGOP @CIA Do we really trust that Haspel can b… https://t.co/qDAKUFBllB
63,Tue Nov 13 06:28:52 +0000 2018,0.0,"Nothing is sacred to Trump, except Trump.  #MuellerTime https://t.co/lpo2quoLGw"
64,Tue Nov 13 06:28:50 +0000 2018,-0.2,"Giving Trump the Thumbs-Up was like saying in public 'Hey Donny, we pulled it off'. Seriously giving Donny  the thu… https://t.co/ACH2jLU5gp"
65,Tue Nov 13 06:28:50 +0000 2018,0.0,@WilliamLongino2 @BistyCSRoss @RACZPATT @BewareSailor @Yaucolion71 @seaghost78 @TedLangstonOK @counterchekist… https://t.co/PheifU0rc3
66,Tue Nov 13 06:28:48 +0000 2018,0.0,@lakerfan_larry @HuffPost 💩&gt;trump
67,Tue Nov 13 06:28:47 +0000 2018,0.0,She’s not nazi enough for Trump? https://t.co/VQjofSnyez
68,Tue Nov 13 06:28:45 +0000 2018,0.5,@TheRickWilson Top Replacement Pick: Who is on TV tonight talking trash and singing Trump’s praises?
69,Tue Nov 13 06:28:44 +0000 2018,0.1,Of course she refused advice because she is an asshole the same way as her husband is! First lady's office lashes o… https://t.co/lRQVs4VXMP
70,Tue Nov 13 06:28:44 +0000 2018,0.6,"Donald Trump wrote own health letter, says physician Harold Bornstein - BBC News https://t.co/72TIFC6fv9"
71,Tue Nov 13 06:28:44 +0000 2018,0.0,Remember this? Florida AG asked Donald Trump for donation before nixing fraud case https://t.co/BHizSIfdKX
72,Tue Nov 13 06:28:43 +0000 2018,-0.7,@neeratanden @valleylea Rain? Hell no. Trump is cotton candy: spun out and bad for your health.
73,Tue Nov 13 06:28:43 +0000 2018,0.0,/2018/11/12/deal-maker-trump-gives-world-leaders-two-options-that-could-make-or-break-ties-with-u-s/
74,Tue Nov 13 06:28:43 +0000 2018,-0.3,"@PersuasivePR @DirkSchwenk @LuluLemew @foxandfriends Beth -

Scroll thru below. ...
Very few Trump mentions, and th… https://t.co/VT2ZytEIUg"
75,Tue Nov 13 06:28:43 +0000 2018,0.0,@ABC Stop repeating Trump's lies.
76,Tue Nov 13 06:28:42 +0000 2018,0.0,@tiwhitter @RealJamesWoods @The_Trump_Train That’s how we got it
77,Tue Nov 13 06:28:42 +0000 2018,0.1,@ida_skibenes As of now nothing that Trump has done has affected me much financially for good or ill. However the t… https://t.co/KsXJNvIP6o
